Bahnaric,Vietnamese,source,example_id,source_lang,target_lang
Gak boux daiqbiuj：,各位代表：,government_work_report,0,za,zh
"Seizneix, gou daiqbiuj Gozvuyen, yiengq daihhoih baugau gij hong cwngfuj, cingj saemjlwnh, caemhcaiq cingj Daengx Guek Cwnghez gak boux veijyenz daezok yigen.",现在，我代表国务院，向大会报告政府工作，请予审议，并请全国政协各位委员提出意见。,government_work_report,1,za,zh
It、Dauqyawj Gij Hong 2016 Nienz,一、2016年工作回顾,government_work_report,2,za,zh
"Bi gvaqbae neix, guek raeuz fazcanj bungzdaengz diuhcan yiemzhaenq, ndaw guek rog guek haujlai mauzdun doxdab doxgya、fungyiemj huxndumj doxca doxgyoeb.",过去一年，我国发展面临国内外诸多矛盾叠加、风险隐患交汇的严峻挑战。,government_work_report,3,za,zh
"Miz aen Dangjcunghyangh aeu Siz Ginbingz dungzci guh haedsim haenx giengiengz lingjdauj, daengx guek gak cuz yinzminz soemh hojnanz buekguh, haenqheiq byaij baenaj, doidoengh ginghci sevei lienzdaemh cangqheiq fazcanj.",在以习近平同志为核心的党中央坚强领导下，全国各族人民迎难而上，砥砺前行，推动经济社会持续健康发展。,government_work_report,4,za,zh
"Baez Cibbet Gaiq Roek Cungh Cienzhoih aen Dangj cingqsik mingzbeg doekdingh aen diegvih haedsim Siz Ginbingz cungjsuhgi, daejyienh le gij gaenbonj leih'ik aen Dangj caeuq yinzminz, doiq baujcwng aen Dangj caeuq guekgya hoenghvuengh fatdad、ciengzgeiz onjdingh, miz yiyi cibfaen hungnaek youh gyaelaeg.",党的十八届六中全会正式明确习近平总书记的核心地位，体现了党和人民的根本利益，对保证党和国家兴旺发达、长治久安，具有十分重大而深远的意义。,government_work_report,5,za,zh
"Gak digih、gak bouhmonz mboujduenh demgiengz cwngci eiqsik、daihbuenz eiqsik、haedsim eiqsik、gaenhwnj eiqsik, doidoengh cienzmienh hwnqbaenz aen biengz siujgangh caiq ndaej fazcanj baenaj youqgaenj, cienzmienh gyalaeg gaijgwz yamq ok yamqdin hungnaek, cienzmienh ciuqfap ceihleix guekgya ndaej haeujlaeg saedhengz, cienzmienh coengzyiemz ceihleix aen Dangj ndaej coh laeg doicaenh, daengx bi ginghci sevei fazcanj cujyau muzbiuh yinvu guh baenz caezcup, ""Cibsam Haj"" saedyienh le haibuenz ndei.",各地区、各部门不断增强政治意识、大局意识、核心意识、看齐意识，推动全面建成小康社会取得新的重要进展，全面深化改革迈出重大步伐，全面依法治国深入实施，全面从严治党纵深推进，全年经济社会发展主要目标任务圆满完成，“十三五”实现了良好开局。,government_work_report,6,za,zh
Ginghci yinhhengz youq ndaw gemj menh yiengq onjmaenh、youq ndaw onjmaenh yiengq ndei.,经济运行缓中趋稳、稳中向好。,government_work_report,7,za,zh
"Ndaw guek swnghcanj cungjciz dabdaengz 74.4 fanh ik maenz, demmaj 6.7％, baizmingz youq gaxgonq seiqgyaiq gak guek, doiq cienz seiqgyaiq ginghci demmaj gunghawj beijlwd mauhgvaq 30％.",国内生产总值达到74.4万亿元，增长6.7%，名列世界前茅，对全球经济增长的贡献率超过30%。,government_work_report,8,za,zh
Gihminz siufeiq gyaqcienz lai hwnj 2％.,居民消费价格上涨2%。,government_work_report,9,za,zh
"Gunghyez giyez leihyinh daj bigonq doek bae 2.3％ cienj baenz demmaj 8.5％, danhvei ndaw guek swnghcanj cungjciz siuhauq nwngzyenz roengzdaemq 5％, ginghci fazcanj caetliengh caeuq yauqik yienhda raen daezsang.",工业企业利润由上年下降2.3%转为增长8.5%，单位国内生产总值能耗下降5%，经济发展的质量和效益明显提高。,government_work_report,10,za,zh
Couhnieb demmaj mauhgvaq yawhgeiz.,就业增长超出预期。,government_work_report,11,za,zh
Daengx bi hawsingz lai gya couhnieb 1314 fanh vunz.,全年城镇新增就业1314万人。,government_work_report,12,za,zh
Gauhyau bizyezswngh couhnieb cauhnieb vunzsoq caiq ndaej gya lai.,高校毕业生就业创业人数再创新高。,government_work_report,13,za,zh
"Nienzdaej hawsingz daenghgeiq saetnieb beijlwd 4.02％, dwg lai bi daeuj bi ceiq daemq.",年末城镇登记失业率4.02%，为多年来最低。,government_work_report,14,za,zh
"Aen guek hung cingqcaih fazcanj miz 13 ik vunz baenzneix, couhnieb ndaej haemq cungfaen, gig mbouj yungzheih.",13亿多人口的发展中大国，就业比较充分，十分不易。,government_work_report,15,za,zh
Gaijgwz hailangh ndaej doicaenh haeujlaeg.,改革开放深入推进。,government_work_report,16,za,zh
"Gij gaijgwz ndaw lingjyiz youqgaenj caeuq hothoh gvanhgen ndaej cungbyoengq fazcanj baenaj, gaijgwz gij gezgou mbiengj gunghawj codaeuz raen miz cingzyauq.",重要领域和关键环节改革取得突破性进展，供给侧结构性改革初见成效。,government_work_report,17,za,zh
"Doiq rog hailangh doiok guhfap moq, ""it rangh it loh"" hwnqguh ndaej vaiq, buek gunghcwngz hungnaek caeuq hanghmoeg gozci canjnaengz gapguh ndeu gaenq doekdingh saedhengz.",对外开放推出新举措，“一带一路”建设进展快速，一批重大工程和国际产能合作项目落地。,government_work_report,18,za,zh
Ginghci gezgou ndaej gyavaiq diuzcingj.,经济结构加快调整。,government_work_report,19,za,zh
Siufeiq gaenq baenz gij rengz youqgaenj ragdoengh ginghci demmaj.,消费在经济增长中发挥主要拉动作用。,government_work_report,20,za,zh
Gij cwnghgyahciz hangznieb fugsaeh ciemq ndaw guek swnghcanj cungjciz beijlaeh swnghwnj daengz 51.6％.,服务业增加值占国内生产总值比重上升到51.6%。,government_work_report,21,za,zh
Aen canjnieb gisuz sang、aen hangznieb ceiqcauh cangboiq demmaj haemq vaiq.,高技术产业、装备制造业较快增长。,government_work_report,22,za,zh
"Nungzyez youq ndaw onjmaenh diuzcingj ndei, haeuxgwn caiq ndaej fungsou.",农业稳中调优，粮食再获丰收。,government_work_report,23,za,zh
Gij rengz nyoengxdoengh moq fazcanj ndaej mboujduenh demgiengz.,发展新动能不断增强。,government_work_report,24,za,zh
Aen canloz doenggvaq cauhmoq bae doidoengh fazcanj ndaej haeujlaeg saedhengz.,创新驱动发展战略深入实施。,government_work_report,25,za,zh
Gohgi lingjyiz aeu ndaej buek cwngzgoj hungnaek byaij youq seiqgyaiq baihnaj ndeu.,科技领域取得一批国际领先的重大成果。,government_work_report,26,za,zh
"Gij canjnieb saenhwng hwnghwnj foedfoed, gij canjnieb cienzdoengj ndaej gyavaiq cienjhingz swnggaep.",新兴产业蓬勃兴起，传统产业加快转型升级。,government_work_report,27,za,zh
"Vunzlai cauhnieb、vunzlai cauhmoq gvangqlangh guh hwnjdaeuj, daengx bi gij giyez saen daenghgeiq de demmaj 24.5％, bingzyaenz moix ngoenz lai gya 1.5 fanh hoh.Caiq gya godij gunghsanghhu daengj, gak loih hawciengz cawjdaej moix ngoenz saen demgya 4.5 fanh hoh.",大众创业、万众创新广泛开展，全年新登记企业增长24.5%，平均每天新增1.5万户，加上个体工商户等，各类市场主体每天新增4.5万户。,government_work_report,28,za,zh
Gij rengz nyoengxdoengh moq cingqcaih cengj hwnj aen diendeih fazcanj moq.,新动能正在撑起发展新天地。,government_work_report,29,za,zh
Giekdaej sezsih daemxcengj naengzlig lienzdaemh daezswng.,基础设施支撑能力持续提升。,government_work_report,30,za,zh
"Saenhwnq gauhsuz dietloh douzcanj lijcwngz mauhgvaq 1900 goengleix, saenhwnq gaijhwnq gauhsuz goengloh 6700 lai goengleix、gij goengloh lajmbanj 29 fanh goengleix.",新建高速铁路投产里程超过1900公里，新建改建高速公路6700多公里、农村公路29万公里。,government_work_report,31,za,zh
Hwnqguh hawsingz gveijdau gyaudoeng、gvanjlangz gyoebhab lajdoem ndaej gyavaiq.,城市轨道交通、地下综合管廊建设加快。,government_work_report,32,za,zh
Saen haigoeng suijli gunghcwngz hungnaek 21 hangh.,新开工重大水利工程21项。,government_work_report,33,za,zh
Saen demgya daihseiq daih yizdung doengsaenq yunghhoh 3.4 ik hoh、gvanghlanj sienqloh 550 lai fanh goengleix.,新增第四代移动通信用户3.4亿、光缆线路550多万公里。,government_work_report,34,za,zh
Yinzminz saedceij ndaej laebdaeb gaijndei.,人民生活继续改善。,government_work_report,35,za,zh
Daengx guek gihminz moix vunz bingzyaenz gij souhaeuj ndaej ceiboiq de saedsaeh demmaj 6.3％.,全国居民人均可支配收入实际增长6.3%。,government_work_report,36,za,zh
"Gemjnoix gij vunz gungzhoj lajmbanj 1240 fanh, vuenh dieg banggungz buensenj vunz mauhgvaq 240 fanh vunz.",农村贫困人口减少1240万，易地扶贫搬迁人口超过240万。,government_work_report,37,za,zh
"Gaijcauh gij ranzyouq dieg ranzdiengz 600 lai fanh dauq, gaijcauh ranzvaih lajmbanj 380 lai fanh hoh.",棚户区住房改造600多万套，农村危房改造380多万户。,government_work_report,38,za,zh
"Ndaw guek lijyouz demmaj riengjvaiq, ok guek bae youz mauhgvaq 1.2 ik vunzbaez, hawsingz lajmbanj gihminz gwndaenj suijbingz caiq ndaej daezsang.",国内旅游快速增长，出境旅游超过1.2亿人次，城乡居民生活水平有新的提高。,government_work_report,39,za,zh
"Guek raeuz cawjbanh Ngeihcib Guek Cizdonz Lingjdaujyinz Hangzcouh Funghvei ndaej baenz, doidoengh aeu ndaej baenz buek cwngzgoj youqgaenj daiqmiz haicauh、dazyinx、gihci singqcaet, youq cienz seiqgyaiq ginghci ceihleix ndawde louz roengz le aen yaenqgeiq Cungguek gig laeg.",我国成功主办二十国集团领导人杭州峰会，推动取得一系列开创性、引领性、机制性重要成果，在全球经济治理中留下深刻的中国印记。,government_work_report,40,za,zh
"Dauqyawj bi gvaqbae neix, gij roen byaij gvaqdaeuj gig mbouj bingzciengz.",回顾过去一年，走过的路很不寻常。,government_work_report,41,za,zh
"Raeuz mienhdoiq yiengh vanzging baihrog seiqgyaiq ginghci caeuq mouyiz demmaj 7 bi daeuj ceiq daemq、gozci ginhyungz hawciengz fubfab hwnjroengz gyahaenq、digih caeuq cenzgiuzsing diuhcan boekbienq fat lai, mienhdoiq yiengh hojnanz lai caengz lumjbaenz ndaw guek gezgousing vwndiz doedyienh、fungyiemj huxndumj yienhloh okdaeuj、ginghci byaij daemq atlig gyadaih daengj, mienhdoiq yiengh hingzseiq fukcab gaijgwz yamq haeuj mwh haeb ndokgenq、cingqcaih gyalaeg diuzcingj leih'ik gvanhaeh、gij yinhsu yingjyangj aen biengz onjdingh de demlai.",我们面对的是世界经济和贸易增速7年来最低、国际金融市场波动加剧、地区和全球性挑战突发多发的外部环境，面对的是国内结构性问题突出、风险隐患显现、经济下行压力加大的多重困难，面对的是改革进入攻坚期、利益关系深刻调整、影响社会稳定因素增多的复杂局面。,government_work_report,42,za,zh
"Roeb cungj cingzgvang neix, ginghci ndaej cap onj gig mbouj yungzheih, miz haujlai bienqvaq yiengq ndei engqgya nanz ndaej.",在这种情况下，经济能够稳住很不容易，出现诸多向好变化更为难得。,government_work_report,43,za,zh
"Neix caiq baez ndeu biujmingz, gyoengq yinzminz Cungguek miz damjliengh、miz dungxcaiz、miz naengzlig hoenxhingz sojmiz gannanz yungyiemj, gij ginghci Cungguek miz rengzndumj、gig nyangqnywt、miz youhsi, diuz roen fazcanj baenaj Cungguek itdingh ndaej engq ndei.",这再次表明，中国人民有勇气、有智慧、有能力战胜任何艰难险阻，中国经济有潜力、有韧性、有优势，中国的发展前景一定会更好。,government_work_report,44,za,zh
"Bi ndeu daeuj, dou cujyau guh le gij hong lajneix.",一年来，我们主要做了以下工作。,government_work_report,45,za,zh
"It dwg laebdaeb cauhmoq caeuq gyagiengz hungzgvanh diuzgung, ginghci yinhhengz baujciz youq duenh hableix.",一是继续创新和加强宏观调控，经济运行保持在合理区间。,government_work_report,46,za,zh
"Bi'gvaq hungzgvanh diuzgung roeb daengz lai cungj gannanz genjdingh, dou genhciz mbouj guh cungj gikcoi giengzhaenq lumj ""raemx hoengh dwk naz"", dauq dwg baengh gaijgwz cauhmoq coicaenh demmaj bingzonj、diuzcingj gezgou、fuengzre fungyiemj, sien bae diuzgung mboengq ginghci yinhhengz gonq, yienzhaeuh bae gyagiengz dinghyiengq diuzgung、yawj seizgei diuzgung.",去年宏观调控面临多难抉择，我们坚持不搞“大水漫灌”式强刺激，而是依靠改革创新来稳增长、调结构、防风险，在区间调控基础上，加强定向调控、相机调控。,government_work_report,47,za,zh
"Gyarengz bae saedhengz gij caizcwng cwngcwz gaenxmaenx de, gyalai caizcwng gij ceiok lai gvaq souhaeuj de cujyau yungh bae gemj suiq gyangq feiq.",积极的财政政策力度加大，增加的财政赤字主要用于减税降费。,government_work_report,48,za,zh
"Cienzmienh doihai yingzyezsui gaij cwnghcizsui sawqdiemj, daengx bi gemjnoix giyez nab suiq 5700 lai ik maenz, sojmiz hangznieb saedyienh nab suiq caenh gemj mbouj gya.",全面推开营改增试点，全年降低企业税负5700多亿元，所有行业实现税负只减不增。,government_work_report,49,za,zh
"Ceiqdingh saedhengz aen fueng'anq gvaqdoh vehfaen cunghyangh caeuq deihfueng cwnghcizsui souhaeuj, saedbauj deihfueng gij caizlig gaenq miz de mbouj bienq.",制定实施中央与地方增值税收入划分过渡方案，确保地方既有财力不变。,government_work_report,50,za,zh
"Gyahung aen gveihmoz deihfueng cwngfuj ciq caiq moq ngamj gaeuq vuenh caiq gaeuq, gyangqdaemq diuzrap leihsik daih'iek 4000 ik maenz.",扩大地方政府存量债务置换规模，降低利息负担约4000亿元。,government_work_report,51,za,zh
"Gij hobi cwngcwz onjmaenh haenx lingzvued habdoh, gvangjyi hobi Ｍ2 demmaj 11.3％, daemq gvaq aen yawhgeiz muzbiuh 13％ baedauq de.",稳健的货币政策灵活适度，广义货币M2增长11.3%，低于13%左右的预期目标。,government_work_report,52,za,zh
"Gyoebhab yinhyungh lai cungj hobi cwngcwz gunghgi, haeujcoengh saeddaej ginghci fazcanj.",综合运用多种货币政策工具，支持实体经济发展。,government_work_report,53,za,zh
Saedhengz gij guhfap coicaenh siufeiq swnggaep.,实施促进消费升级措施。,government_work_report,54,za,zh
"Goengbouh saedhengz gij cwngcwz gikcoi ndawbiengz douzswh daengj, douzswh gaenq miz yienghceij bienq onj.",出台鼓励民间投资等政策，投资出现企稳态势。,government_work_report,55,za,zh
Faenloih diuzgung fangzdicanj hawciengz.,分类调控房地产市场。,government_work_report,56,za,zh
"Gyagiengz fuengzre gaemhanh ginhyungz fungyiemj, aen gihci cauxbaenz yinzminzbi veiliz caenh'itbouh laeb caezcienz, baujciz daihdaej onjdingh youq gwnz suijbingz hableix bingzyaenx, henhoh le guekgya ginghci ginhyungz ancienz.",加强金融风险防控，人民币汇率形成机制进一步完善，保持了在合理均衡水平上的基本稳定，维护了国家经济金融安全。,government_work_report,57,za,zh
"Ngeih dwg haenqrengz ca ndei ""sam gemj it roengz it bouj"", gunghawj gezgou miz di gaijndei.",二是着力抓好“三去一降一补”，供给结构有所改善。,government_work_report,58,za,zh
"Aeu gangdiet、meizdan hangznieb guh cungdenj bae gemj gij swnghcanj naengzlig lai yawz de, daengx bi doiqok gangdiet swnghcanj naengzlig mauhgvaq 6500 fanh dunh、meizdan swnghcanj naengzlig mauhgvaq 2.9 ik dunh, mauhgvaq dinghngeg guhbaenz nienzdoh muzbiuh yinvu, gij cizgungh faenriuz de ndaej daengz anceiq haemq ndei.",以钢铁、煤炭行业为重点去产能，全年退出钢铁产能超过6500万吨、煤炭产能超过2.9亿吨，超额完成年度目标任务，分流职工得到较好安置。,government_work_report,59,za,zh
"Haeujcoengh nungzminzgungh daengj youq hawsingz cawx ranz, daezsang aen beijlaeh gaijcauh ranzdiengz yungh cienz anceiq, fangzdicanj gemj daenzcang aeu ndaej cingzyauq ndei.",支持农民工在城镇购房，提高棚改货币化安置比例，房地产去库存取得积极成效。,government_work_report,60,za,zh
"Doidoengh giyez gyan'gyoeb dauqcungz cujhab, fazcanj cigciep yungzswh, saedhengz hawciengzvaq fazciva caiq cienj guj, gunghyez giyez swhcanj dawzcaiq beijlwd miz di roengzdaemq.",推动企业兼并重组，发展直接融资，实施市场化法治化债转股，工业企业资产负债率有所下降。,government_work_report,61,za,zh
"Vihliux coicaenh giyez gemjnoix cingzbonj, fatbouh saedhengz guhfap wngqdoiq lumjbaenz gemj suiq gyangq feiq、roengzdaemq ""haj yiemj it gim"" gyaucienz beijlaeh、roengzdaemq yungh dienh gyaqcienz daengj.",着眼促进企业降成本，出台减税降费、降低“五险一金”缴费比例、下调用电价格等举措。,government_work_report,62,za,zh
"Gyarengz bouj giz mbangnyieg, banh le buek daihsaeh dangqnaj gip aeu banh youh ik gyaeraez ndeu.",加大补短板力度，办了一批当前急需又利长远的大事。,government_work_report,63,za,zh
"Sam dwg haenqrengz gyalaeg gaijgwz hailangh, fazcanj rengzhoengh ndaej caenh'itbouh gyagiengz.",三是大力深化改革开放，发展活力进一步增强。,government_work_report,64,za,zh
"Cienzmienh gyalaeg gaijgwz, doi ok buek gaijgwz guhfap miz biugeiq singqcaet、cengjdingj singqcaet ndeu.",全面深化改革，推出一批标志性、支柱性改革举措。,government_work_report,65,za,zh
"Hopheux cawqleix ndei cwngfuj caeuq hawciengz gvanhaeh aen haedsim vwndiz ginghci dijci gaijgwz neix, laebdaeb doicaenh gij gaijgwz gemjnoix cwngfuj gihgou cuengq roengz gienzlig、cuengq guenj giethab、gaijndei fugsaeh.",围绕处理好政府和市场关系这一经济体制改革的核心问题，持续推进简政放权、放管结合、优化服务改革。,government_work_report,66,za,zh
"Youq gwnz giekdaej daezgonq guhbaenz aen muzbiuh gaiq cwngfuj neix gemjnoix hingzcwng saemjbae saehhangh sam faenh cih it neix, bi'gvaq youh siubae 165 hangh saemjbae saehhangh Gozvuyen bouhmonz caeuq de ceijdingh deihfueng saedhengz haenx, cingleix gveihfan 192 hangh saemjbae cunghgai fugsaeh saehhangh、220 hangh cizyez swhgwz hijgoj nyinhdingh saehhangh.",在提前完成本届政府减少行政审批事项三分之一目标的基础上，去年又取消165项国务院部门及其指定地方实施的审批事项，清理规范192项审批中介服务事项、220项职业资格许可认定事项。,government_work_report,67,za,zh
Gyalaeg gaijgwz sanghsw cidu.,深化商事制度改革。,government_work_report,68,za,zh
"Cienzmienh doihengz ""song seizbienh、it goenghai"", demgiengz mwh guhsaeh sat saeh le gamguenj ndaej mizyauq, doicaenh ""vangjdoxlienz + cwngvu fugsaeh"".",全面推行“双随机、一公开”，增强事中事后监管的有效性，推进“互联网+政务服务”。,government_work_report,69,za,zh
Doidoengh guekmiz giyez diuzcingj dauqcungz cujhab caeuq gaijgwz baenz miz lai cungj sojyoujci doxgyaux bae.,推动国有企业调整重组和混合所有制改革。,government_work_report,70,za,zh
Laebhwnj goengbingz gingcwngh saemjcaz cidu.,建立公平竞争审查制度。,government_work_report,71,za,zh
Gyalaeg gaijgwz swhyenzsui.,深化资源税改革。,government_work_report,72,za,zh
"Laeb caezcienz gij guhfap lajmbanj diegdeih ""sam gienz faen nda"", laebhwnj gungzhoj doiqok gihci.",完善农村土地“三权分置”办法，建立贫困退出机制。,government_work_report,73,za,zh
"Doicaenh gaijgwz gohgi guenjleix dijci, gyadaih gij gienz gag guhcawj gauhyau caeuq gohyenz yensoj, fatbouh saedhengz gij faenboiq cwngcwz aeu demgya cihsiz gyaciz bae dazyinx fuengyiengq.",推进科技管理体制改革，扩大高校和科研院所自主权，出台以增加知识价值为导向的分配政策。,government_work_report,74,za,zh
Hailangh aen hawciengz ciengxlaux fugsaeh.,放开养老服务市场。,government_work_report,75,za,zh
"Gyadaih goenglaeb yihyen gyoebhab gaijgwz sawqdiemj, gyalaeg gaijgwz gij cidu saemjbingz saemjbae gijyw yihliuz gigai.",扩大公立医院综合改革试点，深化药品医疗器械审评审批制度改革。,government_work_report,76,za,zh
"Ceiqdingh aen banhfap daenghgeiq gij gienzleih doengjit doekdingh swyenz swhyenz, guh sengj gaep doxroengz vanzbauj gihgou gamcaek gamcaz caepfap daengjsoh guenjleix、reihnaz lwnz ndaem yiet geng gaijgwz daengj sawqdiemj, cienzmienh doihengz hozcangjci, laeb caezcienz aen gihci swnghdai baujhoh boizbouj.",制定自然资源统一确权登记办法，开展省以下环保机构监测监察执法垂直管理、耕地轮作休耕改革等试点，全面推行河长制，健全生态保护补偿机制。,government_work_report,77,za,zh
Gaijgwz vih ginghci sevei fazcanj demgya le doenghlig moq.,改革为经济社会发展增添了新动力。,government_work_report,78,za,zh
Gaenxmaenx gyadaih doiq rog hailangh.,积极扩大对外开放。,government_work_report,79,za,zh
"Doicaenh hwnqguh ""it rangh it loh"", caeuq doengh aen guekgya song henz de gyagiengz canloz doiqciep、saedsaeh gapguh.",推进“一带一路”建设，与沿线国家加强战略对接、务实合作。,government_work_report,80,za,zh
Yinzminzbi cingqsik nab haeuj aen swx hobi daegbied dizgvanjgenz Gozci Hobi Gihginh Cujciz bae.,人民币正式纳入国际货币基金组织特别提款权货币篮子。,government_work_report,81,za,zh
"Gaenq guh ""Sinh Gangj doeng"".",“深港通”开启。,government_work_report,82,za,zh
"Laebndei gij guhfap coicaenh doiq rog mouyiz fazcanj, saen laeb 12 aen hamj gyaiq denswj sanghvu gyoebhab siyengih, cingouj cuzgouj cugbouh hoizfuk onjdingh.",完善促进外贸发展措施，新设12个跨境电子商务综合试验区，进出口逐步回稳。,government_work_report,83,za,zh
"Doigvangq gij gaijgwz cwngzgoj cauhmoq Sanghaij daengj swyouz mouyiz siyengih, saen laeb 7 aen swyouz mouyiz siyengih.",推广上海等自贸试验区改革创新成果，新设7个自贸试验区。,government_work_report,84,za,zh
"Cawz siujsoq lingjyiz saedhengz gij guhfap daegbied guenjleix baecinj cijndaej haeujbae ok, vaiswh giyez ndalaeb caeuq gaijbienq itlwd youz saemjbae gaij guh bwh'anq guenjleix.",除少数实行准入特别管理措施领域外，外资企业设立及变更一律由审批改为备案管理。,government_work_report,85,za,zh
"Saedsaeh sawjyungh vaiswh 1300 lai ik meijyenz, laebdaeb baiz youq baihnaj aen guekgya cingqcaih fazcanj.",实际使用外资1300多亿美元，继续位居发展中国家首位。,government_work_report,86,za,zh
"Seiq dwg gyagiengz aeu cauhmoq bae daz roen, gij rengz nyoengxdoengh moq majhung riengjvaiq.",四是强化创新引领，新动能快速成长。,government_work_report,87,za,zh
"Haeujlaeg doicaenh ""vangjdoxlienz +"" hengzdoengh caeuq guekgya daih soqgawq canloz, cienzmienh saedhengz 《Cungguek Ceiqcauh 2025》, doeksaed caeuq laebndei gij cwngcwz guhfap cauhmoq caeuq cauhnieb.",深入推进“互联网+”行动和国家大数据战略，全面实施《中国制造2025》，落实和完善“双创”政策措施。,government_work_report,88,za,zh
"Baijbouh caeuq hainduj saedhengz gij hanghmoeg hungnaek gohgi cauhmoq mienhyiengq 2030 nienz, haeujcoengh Baekging、Sanghaij hwnqguh aen gohgi cauhmoq cungsim miz rengz yingjyangj cienz seiqgyaiq de, saen laeb 6 aen sifangih guekgya guhcawj cauhmoq.",部署启动面向2030年的科技创新重大项目，支持北京、上海建设具有全球影响力的科技创新中心，新设6个国家自主创新示范区。,government_work_report,89,za,zh
Daengx sevei yenzgiu haifat ginghfei ceiok caeuq ndaw guek swnghcanj cungjciz aen beij de dabdaengz 2.08％.,全社会研发经费支出与国内生产总值之比达到2.08%。,government_work_report,90,za,zh
