Bahnaric,Vietnamese
"Noh bỡn băt kơ 'Bok. Kei-Dei sư wă 'mêm kơ bu gô mờng kơ sư wă đẽch. Na to’drong sư wă ăn kơ đe aràng kỡl kữm lei-lăi, gô mỡng kơ sư wă. Mă 'Bok. Keì-Dei wă pơm thoi ỵơ kữm trố sư ngài.","Nhưvậy,. Ngài muốn thương-xót ai thì thương-xót, và muốn làm cứng lòng ai thì làm."
Mờt bẽ tơ âu bơngai kơhlôh;: . sư kữm khan.kơ bơngai kơvvao thoi âu:,Ai ngu-dốt hãy rút vào đây; . Và nàng nói với kẻ thiếu trí hiểu rằng:
"Lu iem ktfm oei pom todrong au:. Lu iem nhtfm hmoi, hodri hodroi, dak mat lech gom le go’bang soi. Kra. Yang,. Stf u’h pa iok boih tomam soi lu iem pang ktfm tfh pa lap don iok tomam poytfr dong ti lu iem.","Còn đây là điều thứ hai các ngươi phải làm là đổ đầy nước mắt lên bàn thờ Ðức. Chúa, vừa khóc lóc vừa rên siết, vì. Người không còn đoái nhìn lễ vật, cũng không đoái nhận của lễ tay các ngươi hiến dâng nữa."
'Nhôn bô̆k.,Chúng tôi đi
Na bre sư kư̆m soi sơmah kơ. Kră. Yang 'Bok. Kei-Dei kiơ̆ kơ đe chih lăm tơdrong. Kră. Yang sơ̆ khan: “Iĕm soi sơmah kơ 'Bok. Kei-Dei minh agrop sem kơmuŏl dah 'bar tŏ kon kơtơp.”.,"và cũng để dâng của lễ theo. Luật. Chúa truyền, là một đôi chim gáy hay một cặp bồ câu non."
Juđa iŏk 'bĕng mi ei na lĕch hloi tơ 'ngoaih. Kơplah ei măng mu yua kơ 'năr mơ̆t boih.,"Sau khi ăn miếng bánh,. Giu-đa liền đi ra. Lúc đó, trời đã tối."
"Ma inh 'nau dei tuh dak roma pok pom peytao, m3- lei inh 'boh-inh refdu tefran porting ham lu beyngai 'nau,> lu kon dro-nglo. Seruia; lu stf peym kotang hloh key inh. Apinh'Kra. Yang pom towih kef lu beyngai pom ktfne 'nau, kitf teydrong keyn& lu stf!”.","Phần ta, hôm nay, ta còn yếu thế, tuy đã được xức dầu phong vương, nhưng những người này là các con bà. Xơ-ru-gia, thì cứng cỏi hơn ta. Xin Ðức. Chúa đáp trả kẻ làm điều ác, xứng với lòng độc ác của nó! """
jĕl.,tầng lớp
sốk inh oei hơ yuih.,tóc tôi còn ướt
"Tơdrong mơsêh tih. Kră. Yang 'Bok. Kei-Dei, rôp pơdŭng ao inh. Chô̆ gơhret inh thoi chô̆ hơko ao.","Người nắm lấy áo tôi thật chặt, siết vào tôi như cổ áo dài."
"To'dah inh pom kotae na porloch. Apsalom, lei ifh ko' go'h on hlop ko’ pomo; ma ih kifm go ddtag tor ataih, ifh ko pota w5 dong inh oh!”.","Cho dù tôi liều mạng làm điều thất trung ấy, thì cũng chẳng có gì giấu được đức vua, còn ông, ông sẽ đứng xa."""
"Kră. Yang ưh kơ pơư kơ lu bơngai pơgơ̆r,. Kŭm ưh kơ lăng kơ bơngai mơdrŏng hloh kơ bơngai dơnuh; Yua kơ đĭ-đăng lu sư đơ̆ng tơpang ti. Kră. Yang pơjing ngăl.","Người không về phe với hàng thủ lãnh, không trọng người giàu, khinh kẻ nghèo, vì tất cả đều là công trình do tay. Người tạo tác."
Tơdrong chơi hỉôk lẽch đỡng. Kră. Yang.,Sự hưng-thạnh bởi Đức. Giê-hô-va mà có
Stf wa pOgoY lu bongai. Istfrael?,"vì ngươi là nơi vị lãnh tụ chăn dắt Ít-ra-en dân. Ta sẽ ra đời."""
"Ddng noh ih athei porih 'mang lech weh hloi, ne ko? hid? ho.","Ta xức dầu phong ngươi làm vua Ít-ra-en. Rồi anh mở cửa, trốn ngay đi, đừng chậm trễ."
