Bahnaric,Vietnamese
huĕn,ả
'ba,mạ
alô,a lô
ak,ác
'bah jơhah,mệt hết hơi
'bak,làm dấu
kơ,ách
gŏ che,ấm
'bang,mâm gỗ
'bao,bào
'bap 'bap,mấp máy môi
'bar,ba
'bat,lây bệnh
'bau,bảo
'bay,bảy gang
'beh,làm quen
'bel,cố gắng làm nhưng không được
'ben,kỹ lượng
'bep,mấp
'ber,đặc
'bet,diệt
'bia,mượt mà
'biah,bằng phẳng
'biap 'biap,nhai nhóp nhép
'biau,không để lại vết sẹo
'bich,nằm
'bich 'buch,tủm tỉm cười
'biep,đúng mọc
'bih,con rắn
'bih klan,trăn
'bit,bênh
'bitì,cháy
'biêh,khéo
'biêt,bĩu môi
'biê̆,hiếm
'biê̆ loi,kém
'biĕr,ăn khít với nhau
'biĕt,tía chớp
'biơp 'biơp,nhai ngấu nghiến
'biơ̆,hơn
'biữ,cao
'biữ 'biữ,từ từ dâng cao 
'blach lơlia 'blia lơ liau,bằng phẳng mênh mông
'blach lơliau,đất trống
'blang kua,cây gòn gai đỏ
'blanh,trắng
'blanh tơhioy,da trắng nõn
'bleh,dây loại dây rừng có củ trên dây
'blek,quét lửa thể sơ
'bleng,ngập nước
hiôm,ẩm
'blep,khít
'blet 'blet,ánh sáng lập lòe
'blet nhĕp,ánh sáng nhấp nháy
'blia,bằng
'bliah,thanh
'bliau,trời mênh mông
'blil blol,trò chơi trẻ em
'bling,nhấp
'blip,lóe sáng
'blit 'blat,ánh sáng lớn lóe lên
'bliêng,lác
'blo,tự kiếm
'bloi 'bloi,lên mặt nước thở
'bloih,tụt
'blon,thẳng đuột
'blong hơ'blong,vật thon dài
'blonh,táy
'blop,liêm
'bloy 'bloy,khói thuốc phì phà
'bluich,trốn việc
'blut,buồn
'blêt,mở mắt
'blêu 'blao,cỏ nhiều này đặc
'blê̆ 'blă,vật lớn đi đi lại lại
'blôk,quay lại nhìn
'blông 'blang,nước lụt tràn ngập
'blôp,che kín
'blăn,bỡn
'blĕk,mãi
'blĕk 'blŏk,đổi ý bất thường
'blĕng,một loại ghè
'blĕt,nháy
'blĭt 'blĭt,ngỡ ngàng
'blŏch 'bom,quệt
'blŏk,nhắc nhớ
'blŏng,dài
năr kiơ̆ kơkhĕi,âm lịch
'blŏ̆k ling lang,thao thức
'blŭk 'blŭk,tiếng nước chảy ùng ục
'blơch 'blach,vùng nước ngập
'blơr,láo
brống,âm thanh
'blơ̆n,đẫm
'blơ̆t 'blơ̆t,nháy mắt
kơpăng wang wơch,âm vang
'bo,thôi
'boch,nhân
'boh,hiện ra
lĕl,âm vật
'boi,bắt
an,an
'bok,bok
'bok bul,nhân vật hoang đường sống trong rừng
'bok kla kơđong,báo
'bok kla pơhum,con hổ
'bom,bị bệnh
'bon,may mắn
pơiăp,án
'bot,mò
'bra,rực
'brach,cười duyên
'brah,ít
'brak,lắm
pơlôch,án mạng
an ninh,an ninh
'brang,sỡ
'brau,lành bẹnh
'bre rơhẽm,bé mới sinh
'breh,giận dữ hết sức 
'brenh 'bronh,rằn ri nhiều màu
'nhŏng,anh
'bri,đỏ
'brih,râm
'brinh,vần
'brit 'brut,rắn trườn nhẹ nhàng
'bro,khàn khàn
'broch,ỉa són
'bruch,hé môi cười
'brui,chẳng có gì cả
'brut,chỉ con rắn uốn mình trướn đi
'bruơh,thẳng băng
'bruơk,tiếng xoạt
'bruơng,da hồng hào
'brâu,hồng hào
'brêh,đẩm
'brêk,vô
'brôk,lôm
'brôk 'brôl,lan ben
'brôm,gầm sàn
'brông,sặc
'brônh,ri
'brõi 'brỗi,từ từ bò đi
'brüh ’brah,vết nổi
'brăk 'brăl,chỉ khoang đen trắng
'brĕl,phộng
'brũch 'brũch,sột soạt
'brũk 'brăk,răng rắc
'brũng 'brăng,ánh sáng hồng
'brơh,hãm hại
'brơk,đấy
'brơt,khè
'brơ̆u,màu vàng
'brư̆,xấu
'brẽk,tiến
'brẽk 'brẽk,tiếng cây sắp rẫy kêu răng rắc
'brẽl,'brẽch
'brẽl 'brẽch,có hạt nhỏ
'brẽt,tiến bộ 
'brổk 'brỡl,có khoang đen trắng
'brỡk,chạnh lòng
'brỡm,mũi tên
'brỡt,xù xì
'brữt 'mrũt,pực pực
'bu,chồi non 
'bu'bũl,tập trung một chỗ
'buah,tiếc rẻ
'buch,cười
'buh,nung
'bui,bùi
'buih,men
'buihxik,men rượu
'bum,đậu
brêng,ánh
'bum hla 'bơi,bắp cải
'bung,kôn
'bur,cháy ngầm
'but,bắt chước
'buâ,loại kiếm của người lào
'buăn,cúng thần
'byỡt,láng bóng
'bâu,thơm
'bêl,bộ phận sinh dục nữ
'bêt,mếu mó  
'bêy,cải
'bíỉk 'brăk 'brũk,gãy
'bông,giỏ mồm
'bônh,bện
'bônh tơlăi,bện dây thừng
'bôt,cồn cát
bơngai,ảnh
'bă,sực nhớ
'băi,ra
'băk,chát
'băn,thanh gỗ dệt vải
'băng,bùa ngải
'băr,lá mồng tơi
'băr 'nghieu,dây rừng
'băr gõ,xoay
'băt,mặn
anho`ng mai pôm b`ă me`,anh chị
'bĕ,be
'bĕ 'bĕ,be be
'bĕng,đánh
'bĕnh,đầy
'bĕp,bép xép
'bĕr,bép
'bŏ,có
anho`ng oh pôm b`ă me`,anh em
'bŏk,giản
'bŏl,cả
'bŏng,dã
'bŏng 'boch,con dã nhân
'bũ,chôn cất người chết
'bŭ,chôn
'bơ'banh,đúc
'bơ'bel,quịt nợ
'bơ'blep,sắp lặn
'bơ'blet,chỉ ánh sáng bất đầu tỏa rạng
'bơ'blut,lớn nhanh
'bơ'blĕk,lạnh ngắt
'bơ'blĕt,traần trọc
'bơ'bot,rờ rẫm
gop 'băn,anh em cọc chèo
'bơ'breh 'bơ'brĕk,nhiều bọ nhỏ bò trên mình
'bơ'broy,chỉ trâu
'bơ'brui,chẳng có thứ gì
'bơ'brêk 'bơ'brak,nhiều vô số kể
'bơ'brŏ,không có đồ ăn
'bơ'bŭl 'bơ'băl,chỉ nhiều người hay vật tập trung một chữ
'bơ'bôh,thấy
'bơ'bơnh,đông
'bơblut,buồn ñôn
'bơblâu 'bơblĕng,không thấy nước
'bơi,bời
anhŏng oh pôm yă 'bŏk,anh em thúc bá
'bơm,lây
'bơp,há miệng 
'bơp 'bơp,miệng nói mà không làm
'bơt,hụt
mơng kơtang,anh hùng
mi,anh nuôi
'bơ̆i bơhnar,tiếng ba na
'bơ̆l,lại
ang,ánh sáng
'bău,ao
'bơ̆l đon,tính
'bơ̆t,nắn
bơ̆t,uốn
'bưch,tùy hứng
'bưi,ngầm
'bưp,rinh
'bươ,bừa
'dah,nảy mầm
'dal,cạn
'dam,chính xác
'dang,ngữa
'dao,kiếm
'dar,thanh ngang chận 
'dat 'dat,người hay đi lại
'deh,lách
'deh pơ'deh,thao thức suốt đêm
'deu,queo
'dih,trước
'dik,nâng lên
'dik 'dôk,lên xuống
'dim,chưa
'ding,ống tre nứa
'ding but,nhạc cụ 
'doh,nổ
'dom,dính vào
'don,lòng trí
au,áo
'dong,dái loài vật
'dop,cụp
'dot 'dot,chỉ thở thoi thóp
'dung,lâu
'dup,cụp xuống
