potao ku'm perm hornet. anih 'long. rogoh hloh wa tah horn todrong pogdp. kra. yang lam noh. ||| vua lập một. nơi. cực. thánh ở giữa ðền. thờ, phía trong, để đặt. hòm. bia. giao ước của ðức. chúa.
in anu. ||| thế này
jul adrêch. ||| gieo trồng
jơrông phă 'long. ||| sâu đục thân
le. ||| gồm
nghê. ||| nghề
pơgloh la. ||| nhất là
pơm. ||| thực hiện
pơnhroh sơnăm. ||| hoạchnăm
thu 'yok. ||| thu nhập
'noh. ||| vì vậy
ne pefang todrong iem tefgum de. ||| bố thí cách kín đáo
hmă nhi juăt kơ mồm mẽ nhi ră mălei mẽ bă nhi đĩ năm choh rang kiỡ đe bơih. ||| thường thì tụi tôi hay bú mẹ, nhưng cha mẹ đã đi theo họ làm rồi.
yua kơ sư pơkă năr boih wă kơ sek tơlang tơpăt kơ đĩ-đàng kon bơngai jờp kơ teh đak. sư rơih minh 'nu bơngai wà sek tơlang tơgùm 'bă sư boih. bơngai sek tơỉang ei, anăn sư. yêsu. krist. 'bã sư ăn kơ sư lôch iung arìh wă tơbăt kơ đĩ-đãng bơngai. yêsu gò.sek tơlang kon bơngai tơpà.". ||| vì. ngài đã chỉ-định một ngày, khi. ngài sẽ lắy sự côngbình đoán-xét thế-gian, bởi. người. ngài đã lập, và đức. chúa. trời đã khiến. người từ kẻ chết sống lại, để làm chứng chắc về điều đó cho thiêhhạ...
dei todrong toblah dunh topa khul. dawit ham khul. sol, gah khul. dawit rai dunh rai pran, na gah khul. sol rai dunh rai rodu toyan. ||| chiến tranh kéo dài giữa nhà. sa-un và nhà ða-vít. vua ða-vít ngày càng mạnh thêm, còn nhà. sa-un thì ngày càng yếu đi.
nh âu boih anao năm iõk ih dõng dêh. măng. lũng ơ bok. ||| chính con vừa mới đi đón cha về từ xứ. măng. lũng, thế giới của ma quỷ
'bih tơ'lŏ hơdrok noh gơh hơrih ling lang, gah kon bơngai noh athei lôch". ||| còn người phải chết" (7)., "rắn lột da sống mãi
ttfdah lu iem hlang lang klah. c asong bal teh wa jang sa, athei klah le minh pah teh ptfytfr ktf. kra. yang teh noh jing teh 'long ro'goh lam char. tor sif 'bar-jit ptfdam-ro'bau htfgat pang woi 'bar-jit rtfbau htfgat; di-dang lu teh au jing teh 'long rtfgoh. ||| khi rút thăm để phân chia xứ sở thành những phần gia nghiệp, các ngươi hãy trích ra một phần để dâng kính ðức. chúa; đây là phần đất thánh lấy trong xứ sở: dài mười hai ngàn năm trăm thước, rộng mười ngàn thước. tất cả diện tích của phần đất này phải là thánh.
'bok. kei-dei phak pơlei noh yua kơ đei pham lu bơngai pơtruh nơ̆r sư, pham lu kon sư păng pham dôm lu bđngai mă đe pơlôch jơ̆p kơ teh đak ro lăm pơlei noh." ư-ang kơ 'bok. kei-dei pơrăm. pơlei. babilôn. ||| và trong thành ngươi, đã tìm thấy máu của các ngôn sứ, của dân thánh và của mọi người đã bị giết trên mặt đất.". khải hoàn ca trên thiên quốc
bờ tở mới", anhong. ru athei hăp. ||| bờ tở mới ", anh. ru bảo hắn.
dak hrơ" noh 'net truh tơ khei mtfjit; nar ma monh lam khei noh; dom lu kơl kong gơh 'boh bang. ||| nước tiếp tục xuống cho đến tháng mười; và ngày mồng một tháng mười, các đỉnh núi xuất hiện.
dang ei dơ̆ng. inh wă kơ ih chih kơthơ kơ kră hnam akŭm 'bok. kei-dei tơ. pơlei. thiatir thoi âu: âu boih. kon 'bok. kei-dei, 'bok mă măt sư thoi pla ŭnh, jơ̆ng sư hơdah 'brŭng dreng thoi mam ngơr đe 'buh tơ ŭnh, na sư wă pơma kơ iĕm thoi âu: ||| hãy viết cho thiên thần của. hội. thánh. thy-a-ti-ra: đây là lời của. con. thiên. chúa, đấng có mắt như ngọn lửa hồng và chân giống như đồng đỏ:
dang ei dơ̆ng ih chih kơ kră wei-lăng hnam akŭm tơ. pơlei. pêgam thoi âu:. bok mă đei minh hlak đao han đei 'bar pah măt noh sư wă pơma kơ iĕm thoi âu: ||| hãy viết cho thiên thần của. hội. thánh. péc-ga-mô : đây là lời của đấng mang thanh gươm hai lưỡi sắc bén:
dang ei ih chih kơ kră wei-lăng hnam akŭm tơ. pơiei. samina thoi âu:. bok tơm rơh mă ưh kơ đei layơ tôch, mă lôch iung arih dơ̆ng, sư wă pơma kơ iĕm thoi âu: ||| hãy viết cho thiên thần của. hội. thánh. xi-miếc-na: đây là lời của đấng là đầu và là. cuối, đấng đã chết và đã sống lại:
dang ei ih chih kơthơ pơtruh kơ kră wei-lăng hnam akŭm 'bok. kei-dei tơ. pơlei. laodisê thoi âu: "âu boih 'bok mă 'lơ̆ng tơpăt ling-lang, sư pơma tơpăt ngăl tơpă. sư boih mă 'bok. kei. dei yua đơ̆ng sơ̆ wă pơjing tôm tơdrong, sư wă poyna kơ iĕm tơdrong âu: ||| hãy viết cho thiên thần của. hội. thánh. lao-đi-ki-a: đây là lời của đấng. a-men, là. chứng. nhân trung thành và chân thật, là. khởi. nguyên của mọi loài. thiên. chúa tạo dựng.
dang ei ih chih kơthơ pơtruh kơ kră wei-lăng hnarri akŭm 'bok. kei-dei tơ. pơlei. philadêphi thoi âu: "âu boih 'bok mă 'lơ̆ng tơpăt, sư chĕp khuă 'bok pơtao đawit, sư gơh pơih 'măng ăn kŏ iĕm mơ̆t, ưh kơ đei bu gơh tang chơkăl dơ̆ng, sư tang 'măng ưh kơ đei bu gơh pơih dơ̆ng, na dang ei sư wă pơma kơ iĕm thoi âu: ||| hãy viết cho thiên thần của. hội. thánh. phi-la-đen-phi a: đây là lời của đấng. thánh, đấng. chân. thật, đấng giữ chìa khoá vua đa-vít,. người mở ra thì không ai đóng lại được,. người đóng lại thì không ai mở ra được.
dei nor. kra. yang khan ko inh: ||| có lời ðức. chúa phán với tôi:
dtfng rong kef noh dunh tefpa, na yong lu stf brok lang lu stf mtfdro sa ham dei leri tfh. ||| ông chủ đến tính sổ với các đầy tớ và thanh toán sổ sách với họ
hăp prah pơhẽch mir bỡn bơih", anhons. ru pơma, inh rò sư oei bích kơchôt lăm mum sơlũng, mờng nờr bro brẽk. ||| nó bắn nát rẫy mình rồi", anh. ru nói, hình như anh đang nằm co dưới góc hầm, giọng run lẩy bẩy.
