source,target,prob
mot,minh,0.4517014020454856
mot,nu,0.09897505313462614
mot,pom,0.04348331016135757
mot,ko,0.029812611177218708
mot,đei,0.024844606357753398
mot,su,0.023710022497038487
mot,noh,0.01620562431153365
mot,to,0.01579851076090799
mot,bongai,0.014217177244802643
mot,ma,0.009773157438370442
mot,lam,0.009304297177477812
mot,anu,0.008640230912386975
mot,dei,0.007791734606251735
mot,bok,0.006729983701277264
mot,na,0.0065251411637291725
mot,ei,0.006452987800941167
mot,lu,0.006085314973154305
mot,inh,0.005929275412786531
mot,pang,0.0054942644976627925
mot,wa,0.005224664734701772
giua,tok,0.12305016028235831
giua,lam,0.10346197614710145
giua,lu,0.07647800275657629
giua,bok,0.05314572115955944
giua,oei,0.046585973510785396
giua,hodai,0.03776999034688446
giua,solam,0.03573378999911488
giua,to,0.028687219421342898
giua,inh,0.01877231517839669
giua,su,0.017414680673548323
giua,tdk,0.014800151573350531
giua,ko,0.014110018092517381
giua,pang,0.01405223899186333
giua,ham,0.013928905193509106
giua,bongai,0.012644950716584731
giua,anih,0.009622084651975891
giua,bdt,0.009309296229684521
giua,ma,0.008112987501819184
giua,teh,0.007908613259281721
giua,iem,0.0075119768243889174
đe,wa,0.19281878527651733
đe,ko,0.09924346448928453
đe,su,0.04662975735761272
đe,lu,0.04571536200896918
đe,inh,0.032587233306140086
đe,le,0.022705135444924272
đe,bongai,0.02123510284197305
đe,pang,0.02076531059942804
đe,to,0.020685066349984727
đe,an,0.017364591437831214
đe,todrong,0.015658318277227398
đe,na,0.015399306518639728
đe,noh,0.014999158773091003
đe,pom,0.013595752724562387
đe,ih,0.012592213372918864
đe,ma,0.012396684813935294
đe,đe,0.011986336132868704
đe,stf,0.010509660821940162
đe,iem,0.010153810937852392
đe,thoi,0.009131853989499172
hom,nar,0.23209548077452516
hom,hom,0.1802421045769522
hom,pogop,0.1118495045788226
hom,au,0.02298075079983725
hom,brei,0.02068253407748956
hom,tung,0.02054136224477434
hom,bong,0.012467075118189978
hom,doning,0.011637688558082065
hom,to,0.01145957201277204
hom,anar,0.01110722155841854
hom,nau,0.009440114207522684
hom,bok,0.009394963057607574
hom,dan,0.007542221501387415
hom,ai,0.0071625231990306145
hom,n3r,0.007096436984810631
hom,kor,0.00707102924104574
hom,toning,0.006729170768369038
hom,mang,0.006615347193568104
hom,ndr,0.006073798253732245
hom,et,0.005806757202847989
bia,bia,0.4194547889080031
bia,hom,0.06799152076788782
bia,man,0.040432808445730016
bia,iung,0.030589082421060496
bia,tung,0.027892302665093564
bia,o,0.024062286422773842
bia,đebir,0.0225559811183552
bia,porgdrp,0.018185430804868327
bia,pogtfp,0.01807465722975298
bia,bre,0.01735597938552453
bia,phu,0.015374762581276982
bia,duch,0.015141604678208841
bia,pogop,0.013393956090578632
bia,đe,0.008855219085895509
bia,ho,0.008093737168333984
bia,e,0.007677778689708078
bia,lat,0.007308711806653846
bia,ah,0.006012716447632754
bia,đech,0.005972905734678138
bia,ani,0.005806565746322698
thanh,polei,0.16681739003652787
thanh,rogoh,0.09043531650496457
thanh,long,0.06955038784118199
thanh,lu,0.04566642264186798
thanh,jing,0.0437975890406773
thanh,su,0.04338501649505968
thanh,ko,0.03767389482308076
thanh,to,0.024753333344551334
thanh,tih,0.02427409568434384
thanh,lam,0.020177817004678796
thanh,pang,0.01980105623234392
thanh,anih,0.017909231206301664
thanh,noh,0.01618202620946688
thanh,bongai,0.014056431269768424
thanh,pom,0.012977866783813519
thanh,dei,0.012773896785122044
thanh,bok,0.01133490681793496
thanh,todrong,0.010418643480689766
thanh,wa,0.00963230122125565
thanh,đei,0.009151360645085649
vua,potao,0.4053102685285045
vua,stf,0.08283113874085656
vua,portao,0.0391757376199533
vua,de,0.02069159369373772
vua,ptftao,0.02002354410826622
vua,kor,0.016318850437398957
vua,peftao,0.015575699952882202
vua,sif,0.015401520083444541
vua,lu,0.01332789786883354
vua,po,0.010469445313338606
vua,solomon,0.009661075126903021
vua,rah,0.008308752865516559
vua,pang,0.00821433499485167
vua,khan,0.007778908898389546
vua,pogor,0.007703409571172334
vua,noh,0.007659286372104435
vua,lam,0.007473219521460982
vua,polao,0.0071829387787702235
vua,pom,0.00691971178331466
vua,drd,0.006796637882465127
uoc,pogop,0.24674672018261037
uoc,poka,0.06220983039779154
uoc,ham,0.04483779400076725
uoc,todrong,0.04257462223795981
uoc,hopoi,0.0381722282776563
uoc,inh,0.0308753271958711
uoc,lu,0.02914788806445802
uoc,ko,0.0266237264113354
uoc,nor,0.02471166167082264
uoc,kua,0.019235908707838846
uoc,wa,0.01869886052663919
uoc,pokam,0.015765832263365743
uoc,ih,0.014014968405187428
uoc,yang,0.011921805478308978
uoc,su,0.00988744756075457
uoc,kio,0.008001930987253122
uoc,kra,0.0073988900431694775
uoc,maih,0.007085190879709263
uoc,hom,0.0068896852795734395
uoc,thui,0.006781792832380122
lap,pojing,0.06838222143071028
lap,lu,0.05065926050121803
lap,ham,0.04295773821555223
lap,pom,0.03248759343147354
lap,ko,0.027937813655676713
lap,su,0.027723381885689617
lap,pok,0.02463542087894831
lap,poka,0.024389168042378877
lap,poiing,0.02258481012911529
lap,pang,0.0218859310660108
lap,ih,0.02177467645725783
lap,an,0.018758638945218644
lap,pogop,0.017150424557963367
lap,toiung,0.016309394939893758
lap,inh,0.015578758462731618
lap,todrong,0.015514776779327425
lap,hloi,0.015287223471341692
lap,bu,0.015025292430693562
lap,wa,0.013221279870899138
lap,le,0.01263988800606862
cua,ko,0.08071833209040111
cua,lu,0.0726353163536976
cua,su,0.05482743520733809
cua,inh,0.03383874969362134
cua,todrong,0.026997226967290098
cua,yang,0.026733471373264695
cua,pang,0.025667275329087674
cua,ih,0.024262770652267368
cua,noh,0.023246320288902816
cua,đong,0.021551806297031236
cua,to,0.021450984905164155
cua,kon,0.020667575525537264
cua,bongai,0.019412918809275426
cua,mang,0.01854946259919457
cua,pom,0.01803036390572652
cua,ma,0.017910069240678027
cua,kra,0.017849420328712354
cua,tomam,0.01743154626213549
cua,lam,0.015939776489601896
cua,bok,0.014324724737418167
trong,lam,0.3222330647315623
trong,ko,0.04598269679655709
trong,su,0.0383845459069854
trong,lu,0.03694292946245471
trong,to,0.03254619960497522
trong,đei,0.024854355252320746
trong,oei,0.02113963287395408
trong,noh,0.01933022010663998
trong,bongai,0.018894225420715175
trong,ma,0.016825455555287402
trong,pang,0.01469286523477762
trong,todrong,0.01376296913510815
trong,pom,0.011317475541205163
trong,dei,0.010090817887512324
trong,bok,0.009692947734611186
trong,inh,0.008922703389467717
trong,hnam,0.008042683531814334
trong,na,0.008029057336215192
trong,kon,0.007610918402195149
trong,koplah,0.007529301578834203
đat,teh,0.4107920526064786
đat,đak,0.03580566926629069
đat,char,0.027698590347351785
đat,to,0.027610040813816912
đat,su,0.022788418719610074
đat,lu,0.021352607941967867
đat,lam,0.0208853421820543
đat,ko,0.02024266508926947
đat,dan,0.019130635802588877
đat,dak,0.01573063709428804
đat,pang,0.015522914217327946
đat,kopal,0.014578849208458986
đat,deh,0.01441382693771993
đat,noh,0.012771868888575373
đat,jop,0.012455712338328822
đat,an,0.011812093390471033
đat,go,0.011139531342053687
đat,đei,0.01026667524106884
đat,ih,0.010142329652415334
đat,man,0.008680529643288129
tho,chonang,0.16825356447833661
tho,soi,0.14367638500523924
tho,hnam,0.06895431310753251
tho,kokuh,0.06346490453965167
tho,akum,0.057663226578057586
tho,lu,0.02515071240609129
tho,pang,0.01960137728994993
tho,man,0.01903241673466597
tho,yang,0.018963568555421067
tho,pom,0.017702588311622598
tho,ko,0.017322126989096874
tho,su,0.01619508877688798
