Bahnaric,Vietnamese
sơgiêng 'long,cành cây
blêl,bập
pơgleng,bối rối
gơweng,nặc
jơhẽ,chúm chím
glo,tủy xương
au mă 'noh,áo kia
xeiu,thịt
puhong,ong
in,giống nhau
tơxŭl,lộn xộn 
bơhau,làm nản chí
pơhlah jơ̆ng,kẽ ngắn tay
phôt phông,bầu không khí
bĭ kơnă,rẻ
măt 'năr,mặt trời 
nhong,khoe khoang
ngơngơt,chệnh
tơtơn,vừa đi vừa nhún
tơhia,một loại đó nhỏ
tơgăk han rơ han,rựa bén
hrip,hủi
hơlay,lẻ
Atung,Đang
akâu,chắc
hơbăn,cái váy
kram pơ nŭng,tre non
tơnanh,dệt khăn
kơchŏng,nhăn nheo
brổm,lực lưỡng
hlăm,trầm trọng
ngŏl,cạo trọc
hlĕnh,dối
tơdo,thòng xuống
tơmiẽt,nhận xuống
plẽnh,trời
'ngông,dài thòng
dôp,loại áo tơi đan bằng lá cọ
pơgâr,sứ
kơmăi pơm rơ ngơp,điều hoà
tơ to` kơjung,cao độ
'blach lơliau,đất trống
atung 'yung,lớn lên
bring brih,nhá nhem tối
đak dơxĩ gah hơ le`ch,biển đông
io ̆ k,lĩnh
bơrổm,giết con vật để cúng tế cho người
tơpa,ba ba
rơtăk rơtôp,to và dài
tơhlũm,có hình nón
lơma,mỡ
lơmek,mịn
kơ măng mơ̆t,đêm khuya
yiêu hanh,diễu hành
to biêt tơbiat,mếu máo
hôi,ít khi
bre,chỉ hai người
hơbiai,kiểu nói
chơ'doi,chổng mông
tơlunh,chnằm bất động
kich thươk,kích thước
abah abah,xuôi theo dòng nước
rim pơgê,mỗi buổi sáng
pơgiang,trì hoãn
ƀơm,quan
plĕi su,quả su su
tơguẽng,nhỏ và cong
pơtỡp,huấn luyện
lŭk khŭk,củi chặt khúc
Cuï,Cụ
chơchơ̆ng,chặt đứt
chơng rơng tơyĕn,giàn mướp
ơnglŏ,một thế kỷ
hơ pong lôch,tang lễ
nôm tah ka,giỏ cá
roi rơ đah,phân tích
hnger,không nỡ
hơvăl,bận rộn
sữ,sóc
hnam kê nhơ̆,nhà sàn
jrưt,chôm
kơ'nol,hạch
chơ'lŭt,xô
chroih,rạch thành đường nhỏ
jĕ,cách mặt
đô lơngơp ,độ ẩm
bơblôt,chỉ ánh sáng lớn chiếu tỏa
hơ'nĭ,đằng sau
khôi juăt krao,pháp lệnh
bĭ mai k,còn chị
wĕi vê tơmam,bảo tồn
pơđôh brum phao,nổ đạn
bơhach,nói thầm
rơchak,rõ ràng mạnh lạc
pơhăt,quan trọng hóa
gen,gen
tơsi,cái lược
hyang,lao
rơ'bơch,thói quen
tre`ng,cái cần
ngõr,cụi
kơchap,vảy
kăng dra,chỉ cột giăng hai tay
bơ'nuôl,nóc
pơdrỡng,thông qua
nge,trẻ sơ sinh
bret,buốt mạnh
hẽi,hồi nãy
kle ̆ch,xuyên
tơbrĭnh,chi chít
kơtĕi,tôm
bai tơbĭnh,nôi
hơ chô̆ gia,bó tranh
goch,rọc
kơkioh,soạt đạp
agăl,triều nhiên
dan,để
tơbrơnh,bụng to căng
bơloi,quá đáng
atŏ,bằng nhau
jang đe ̆ch,lao dịch
rơwẽng rơwẽng,xa tít mù khơi
grŭm,tiếng cây lớn đổ ầm ầm
kơdâr,hoài
hơdrôp,rợn
tơbuah,trong nõn
hơtơ̆k,đầm
pơđơng,cuốn trôi
kơnu,con sậy
kơbei,bò tót
hơngla,bờ rẫy
kĭhla,ký
hmơm,ngồi chờ 
hlŭn,làm cho trũng
anam,hạt cườm
kơ jung hloih,cao hơn
găr ba,thóc
bơ'bluih,trơn
tơdra châm pơ đâng,dấu chấm than
duch,mợ
kĕ,chịu đựng được
apoih,rắn độc rất nhỏ giống như da nứa khô
tơgíi tơgrăn,dây trói choàng khắp người
anul,chơi đùa
tơxẽn,xê xích
sĕi,xay
goi'long,ngọn cây
'dong,dái loài vật
hiap,cánh đuôi tên để giữ thăng bằng
siêm rong,săn sóc
plôh,mở
rơyu,le bẻ
krut kret,tiếng mở cửa kọt kẹt hoặc tiếng cưa kèn kẹt
chen ner,cái đẹp làm bằng hai thanh tre
hơdơi hơdơi wă,hòa thuận
plei 'long bri,quả rừng
tơgǔm,bổ sung
vinh son,vĩnh sơn
apung,khu
pơlau,vô sinh
tơh lăk tơhli ̆ n,vướng víu
'dôp kơ'dôp,đi khom lưng
hal,khát
'dop,cụp
cheh,cán
anhrât,ngừng
chua,sãi
kơ'như̆,trên cao
jơbram,râu thưa và dài
adrin,gắng
pơxư̆,lưu truyền
bơjôch,bắt lại
chơ choh chư,đánh máy
kơnon,con rể
hơpi ̆ nh hơdri ̆,van nài
'long kăi,cày
pơnhan grông,bát lớn
liê̆l,lè lưỡi
thoat,thoát
đak măt,lệ
bơluăn,nguyệt
pơyỡng,tiễu tiện
tơhntíinh,nhe răng trợn mắt
pơtẽp,sát gần
hia,lấy di
klơ̆ng,đầm lầy
kơluơng,chỉ nước da trắng
pơplach,nói dối
prih,lẫy
dơbak dơbơn,hai cô gái đẹp
ngo ngŏk,ngồi chực hay trông chờ
xich đu,xích đu
jreng,hẩm
kut kơt,tiếng cột kẹt của cây cọ vào nhau
'bô,bộ
dŏm,đŭ
'jrep,hút
ding dit,chim dù dì
bơngai pơma pơm jang hơlĕnh,cái già
tẽk tốk,bình xông hương
jơhngơi,cười hả hê
bơgre,cãi cọ
khĕi mônh,tháng
bliah,phẳng
gơgĭr gơgăr,xe chạy bon bon
hơyeh,ganh đua
sip,tấm bia
dư̆ dư̆,nói nặng lời
'brêng,trưng
he,lạnh
rơmơn,đuối sức
'dĭ,hết
tơkuăt,kết nhau
gi,nó
tẽch,lạt
kiẽk,cọp
'brit 'brut,rắn trườn nhẹ nhàng
chơbrơ̆p,loại cây gỗ cứng có hoa tím
kơ plah wah,khoảng cách
ml`ăi,cái pháo
iẽr tơhao,gà đạp mái
thuôk,bả
ttfriïk,cây đuốc
char,con cáo
ngơngoh,ngồi chực 
hơmơ̆ng,cựa gà
lŭm lăm,lộn xộn 
oh pôm mĕ 'bă,em ruột
pơpraih,thanh minh
kơphô̆,phố chợ
pơ hla long rung,mùa thu
grong,canh thức
nguan,dễ dạy
'bum dăng,củ khoai lang
rơpeh,que
chơpĭl,bướng bỉnh
chơlŏk,yết
ktô,tô
kơwơ̆ng,cánh đồng rộng
hiê hiê,khúc khích
jtfkhot,cao chót vật
'yvung,đứng dậy
beu,bộ phận sinh dục nam
rõk rõn,một loại cây thường nấu cháu heo
tơhnhêl,vật to phát sáng 
jờl,ngập đầu
rơbũng rơbăng,kênh
bơnơ,con đê
chơpuih,quét
'mong,thù
püng,bất
'ngot,cưa
prf'ngah,làm hòa
hơvir,loạng choạng
'brang,sỡ
pơngar,thổi than cho hừng lên
duat,thẫm
bơdet,chen lên
hơrah,uể
we ̆nh ao,vắt áo
jơdrông,con sâu
bơbuch bơbach,di chuyển đông như kiến
hơ bŏ,giống
krămlơ,nhận
than chơ 'ba,cây thuốc độc
hrĭp hĭp,tiếng mưa rơi lộp độp
blŏng blĕch,nhiều ánh lửa leo lét từ xa
pĭng pŭng,"tiếng nổ lớn ""đùng đùng"""
ơ̆t,không tránh khỏi
âp,nấu
khuen,khâ u
tơvveng,ôm nhau ngủ  
brâm,bầm
hơpêr,đất
bơ̆long,mộc
tơno`ng,cư
hơmre,chỉ cách trang trí đẹp
kông kô̆ng,công cộng
hiah hŏch,rách nát
klen,không sinh sản
pơ'dum,ủ chín
bơđô,ru
bê̆,"tiếng ""bịch"" của vật rơi xuống đất"
chơner,giấc ngủ ngắn
mơnăt,mít
tĩk,đến gần
hŏk hơ len,triết học
pơleu,chim chào mào
ach,bốn đời
khĕi pơnil,rằm
wi,ủy
hơlon,cuộn nhỏ
wai,giớn
jơbrỡp,cây hoa
kơjôr,bùa ngãi đuổi cạp
tơh lăk,vướng
kơnăt,miếng thịt nhỏ
asơl,lượn
teng neng,chuyện
kơpô hơ kăn,trâu cái
hiĕt,bị đứt tay
kơ'muơ̆n,đòng đòng
hlĕng,chang
hơtăng hiơ hiơr,mỏng dính
pơtữl,làm cho tà
kieh kioh,tiếng một soạt
hơnơ̆,thoải
pơ nhơk,giương
hnhum,xít
gŭ,khệnh
kon ngai,ngươi
năm dăr lăng,đi tuần
don,ghề
breh,khỏe
hrum,dễn
bơbĕ,tiếng cảm tháng của sự thất vọng
gẫm,thể
da da,chim đa đa
kuê̆t,quyết
tơdrêp,tàn cây lớn
tăng lă,dây trái tròn
phiơl,nhảy vọt qua
adrung,chuồng
'ju,sấy khô
bap,ạt
ơkơ̆u,tính mạng
anglŏ anglơi,bình thường
chơchă,tìm
rưng,chỗ có toàn
phuh,tung toé
