Bahnaric,Vietnamese
Potao ku’m perm hornet. Anih 'Long. ROgoh hloh wa tah horn todrong pogdp. Kra. Yang lam noh.,"Vua lập một. Nơi. Cực. Thánh ở giữa Ðền. Thờ, phía trong, để đặt. Hòm. Bia. Giao Ước của Ðức. Chúa."
in anu.,thế này
jul adrêch.,gieo trồng
jơrông phă ‘long.,sâu đục thân
le.,gồm
nghê.,nghề
pơgloh la.,nhất là
pơm.,thực hiện
pơnhroh sơnăm.,hoạchnăm
thu ‘yok.,thu nhập
‘noh.,vì vậy
Ne pefang todrong iem tefgum de.,Bố thí cách kín đáo
Hmă nhi juăt kơ mồm mẽ nhi ră mălei mẽ bă nhi đĩ năm choh rang kiỡ đe bơih.,"Thường thì tụi tôi hay bú mẹ, nhưng cha mẹ đã đi theo họ làm rồi."
"yua kơ sư pơkă năr boih wă kơ sek tơlang tơpăt kơ đĩ-đàng kon bơngai jờp kơ teh đak. sư rơih minh 'nu bơngai wà sek tơlang tơgùm 'Bă sư boih. Bơngai sek tơỉang ei, anăn sư. Yêsu. Krist. 'Bã sư ăn kơ sư lôch iung arìh wă tơbăt kơ đĩ-đãng bơngai. Yêsu gò.sek tơlang kon bơngai tơpà.”.","vì. Ngài đã chỉ-định một ngày, khi. Ngài sẽ lắy sự côngbình đoán-xét thế-gian, bởi. Người. Ngài đã lập, và Đức. Chúa. Trời đã khiến. Người từ kẻ chết sống lại, để làm chứng chắc về điều đó cho thiêhhạ..."
"Dei todrong toblah dunh topa khul. Dawit ham khul. Sol, gah khul. Dawit rai dunh rai pran, na gah khul. Sol rai dunh rai rOdu toYan.","Chiến tranh kéo dài giữa nhà. Sa-un và nhà Ða-vít. Vua Ða-vít ngày càng mạnh thêm, còn nhà. Sa-un thì ngày càng yếu đi."
nh âu boih anao năm iõk ih dõng dêh. Măng. Lũng ơ bok.,"Chính con vừa mới đi đón cha về từ xứ. Măng. Lũng, thế giới của ma quỷ"
"'Bih tơ'lŏ hơdrok noh gơh hơrih ling lang, gah kon bơngai noh athei lôch"".","còn người phải chết” (7)., “Rắn lột da sống mãi"
"Ttfdah lu iem hlang lang klah. C asong bal teh wa jang sa, athei klah le minh pah teh ptfytfr ktf. Kra. Yang teh noh jing teh 'long ro’goh lam char. Tor sif 'bar-jit ptfdam-ro’bau htfgat pang woi 'bar-jit rtfbau htfgat; di-dang lu teh au jing teh 'long rtfgoh.","Khi rút thăm để phân chia xứ sở thành những phần gia nghiệp, các ngươi hãy trích ra một phần để dâng kính Ðức. Chúa; đây là phần đất thánh lấy trong xứ sở: dài mười hai ngàn năm trăm thước, rộng mười ngàn thước. Tất cả diện tích của phần đất này phải là thánh."
"'Bok. Kei-Dei phak pơlei noh yua kơ đei pham lu bơngai pơtruh nơ̆r sư, pham lu kon sư păng pham dôm lu bđngai mă đe pơlôch jơ̆p kơ teh đak ro lăm pơlei noh."" Ư-ang kơ 'Bok. Kei-Dei pơrăm. Pơlei. Babilôn.","và trong thành ngươi, đã tìm thấy máu của các ngôn sứ, của dân thánh và của mọi người đã bị giết trên mặt đất."". Khải hoàn ca trên thiên quốc"
"Bờ tở mới"", anhong. Ru athei hăp.","Bờ tở mới ”, anh. Ru bảo hắn."
